IncidentID,Text,Class
0,HM I one one was located your emergency eleven ten thousand farm right Felton farmers what the problem is our little boy stopped breathing at least break even now yeah he thought how can I do you wonder CPR do you know how to do it I'm cold and distant there is a yeah this you know I do think the author yeah call it being a group okay Howard is a shout it goes to his because they have become a medical problems because they have any kind of medical problems levels he does not know what happened before he stopped reason well I think filling some of okay Wario Adler we are at the Mayo hello ,High
0,nine one one American really my mom I don't even he gets pulled out of the car he didn for more information outfit on antibodies the address we do a part of this is what he gave me the address you got answer basically address again he promised the driest out like that you probably think I it was the one who do you want to get the paramedics started just a moment hitting on just stay on the phone with me broken and has a thirteen twenty seven south of this to drive in mesa ten ninety one comes up in the middle of the street okay but what is seen what's the name of the apartment complexes that that girl ,High
0,I don't know what I don't call it we we well I shouldnt bullet weight no limit on how are you %HESITATION employment all the holy book a little more we can win well what height a de how are now in front of one high alright you put a better moving and if you can hear me well I didn't hear the boom in front of Berto ,High
0,in Atlanta one where is the heart of hello nine one one I'm interested in my house but what if I couldn't find my fun dormant such order number trying to break in a decade talk about that right out started signing up okay you know who the gunman can clarify it's about change I've got officers already on the web but you pay on the part of the officers get therapy putting that that kind of backing down they're in the band for someone who in the baton homocore sort of porch we've heard that about parents that they can't I think anybody who I know I'm not asking you to look for it but did you know there is hope you didn't think Americans it's over okay are you expecting inviting you ,High
0,yes I do n't gone poker a twenty almost three quarters Cup apartment for that no I'm not I'm not look at well right prominent played by product apartment block it's going to look good n'gog cropland twenty three and I'm like apartment for and it was weighing only okay who how does the president have you have right now I yeah but that will that will perish by the door yeah by the door ,High
0,nine one one marcher burgeoned saying right now I'm going to try to force it upon you politically happy since he can't see I'm pretty chilled Agenzia was okay and I think grandpa ma'am okay have you ever seen this man before whereby he circled here rather than some he did want to go see like Daddy who we are and how would it look at it and where you have right now I do have to say I'm a marine zero one forty three thousand submarine road okay and %HESITATION officials in the department of agriculture only so he told me if I move through here I unemployment students are currently there that I didn't want to experience a lot younger probably darted will make out of the airport for the night ,High
0,what is the ma'am are you needing like leann really care you need in Lebanon wait you know right unlike yeah way I mean where nineteen you know don't know why I mean ,High
0,clearly about the fire with a medical emergency what hello but where am I right okay addicting and you yeah you can work one on one what if you know and all early yeah I know how yeah you hear it ,High
0,hazing that place %HESITATION %HESITATION are we I I have a very small unit ironed out on the trail and I just forget it somebody out you can be calling nine one one non have young girl here who was mauled by a bear images not pretty bad shape Tony paramedic okay a minute potentiated automatic particularly popped the medic alert not park in but yeah okay where are you guys broken out surplus leaflets actress would be to go to the hilltop in the area thing goes down what it called the gas line trail to where it needs Campbell creek it's very to achieve their closest to help out bill pot here yeah it is through the actual area cursor trail you can you can talk all on one second okay now that I've got kind of where you are I need country through diplomatic okay anger hold on to ,High
0,well number one was that the rest of your emergency watch my address book I was supposed to be going from there ma'am so it's a mixed sector what happens my husband sure listenable subsequent okay hold on for me poker alright ma'am tell me your name for okay I got some help common occurrence now though he not return are you with your husband now where welfare hall which was spoken how old is your husband Nita is he overweight it seems ,High
0,better late than never one emerges separate fact Symantec's second help your yeah heart O. model or not Daniel freaked out you Ahmed I'm Paul Brown it be a down payment beat up beat they're gonna demolishing about how to marry the woman inside and we need someone to come Congress should fifty eight how the hell it demolished go out them out but ordered that beauty balm cool compliant go up there order could become out there the woman in front of help you need comment nebula immediately I hope that on the second okay nuclear she's trapped inside he got underneath the level of the house %HESITATION ,High
0,I %HESITATION held the record yeah yeah but yeah now I upgraded not screaming so I can hear you %HESITATION up what are yeah yeah I me I'm listening to me I need you to unlock now so I can understand what's going on what's wrong with your boyfriend or what is wrong with your boyfriend well yeah I %HESITATION and E. why don't why n't ,High
0,who was also named one operates like a partner that I got some where my other thought is that humans are we running water heater take you home we incrementally eight who knows explained John hope Franklin doctrine Cutie now unloading dockside building he hunting shooters I don't know if it would hurt him people in the cars were accurate located they will determine what issuing and that's all I know that you're calling found you can't take similar shot his wad or well people receiving money dreams selling out and I'm wearing pretty a big mistake how does someone deviant you're almost and what city now over could be on how to insert in Baltimore Nelson waiting arms ,High
0,I did not only is the emergency arms armory a guy starting I think his wife who is strong with his wife he's doing what he something's wrong with his wife he doesn't speak very good English decidedly wrong yeah well yet our our Garfield would you buy a toy took off after side of the road yeah I got good results twenty till yet we should look at a car yet you are a very honest good morning you know it's a red dress what do you are you know so if you just heard the very future of the evening Judith Feder baby yeah just now in the car here in the car there are if the baby completely out here and there is ,High
0,March eighteenth two thousand fifteen fourteen forty one thirty three one nine nine one address of the emergency full court eight well sixteen twenty one and Lawrence Corey I can't I can't understand the straight very warm for airstream place green like the color yeah but so number you're calling me from what happened who cut your own where is home now hold on one two you know has done well you know went down stairs okay who criteria does it go ,High
0,who no one emergency what are you reporting yeah I'm sorry who do you had better pay and no good luck with them and well rather when did that happen where did he go inside yeah the track we didn't know that the next attack even yeah ,High
0,I'm almost out what could it could fire up my medium you on my way located I am one ninety three mockingbird lane of what's going on there %HESITATION I have a nine week old in them and he just stopped breathing down the line okay ninety greenness but how the merger the location of the American clean one ninety three mockingbird lane emerges think I have a nine week old infant in the house not breathing we called up breathing yeah her he Ellie Campbell okay phone number I believe put you out I think he won by a lively I should be able to write this book yeah I got it in your book on the way ,High
0,I did and I don't believe it but you know what about out don't take number one operated thirty five what is the address of your marking play later I look a lot better defeat on a link that thirty one great very little at the money how could it not be better now at their area on the glove and great that we're able to admit it the I did what what what that yeah a new movie open part of what we can do both hello by the parent I don't hate you can all part of what we don't ,High
0,nine one one emergency but hello picked up on it yeah I don't want to work to help bring on more quickly well you know well I think no one on the I'm a court of law at all okay I look good you have to break my way yeah I I don't want to you can turn off your car you put in new co it got a lot of you can't come out again let your okay you can't put it in neutral or anything like that you can upload looking where you are I don't know I don't know coming toward him yeah well we don't coming toward him okay well why Honda ,High
0,arm hurt me in the quarter are Daniel Larry Bird hill Aldon online at him it he brother on camera plenty nine nine one one operator imported green where sure murky well here we didn't %HESITATION girl Paul okay no I I pull her her her from Herbert hoelter yeah her whole particular or criminal Paul W. how do you kill or her arm over what are number promote Paul ,High
0,yeah I think I want expire it don't ever let it relocated are do you know your craft headset yeah okay urinal right correct yeah okay what's going on there I'm not letting yeah I know IGN likely cut I need it I don't know that we could bring okay we no I think we can crack it only thing it would it waiting yeah I caught down on okay okay they though it pains you ,High
0,earlier on I was hooked where the windows control of interest so you can't love boat lord Robert St journal okay if anybody had cared or workgroup theory you can't have a breakdown or n't made okay whose NPY twenty one he does anything Milton Berle okay did he has I don't know I think you people are okay what your brother's name Carl Miller okay where is he I don't there you know okay so what made you cry lady do our partnership will go up to my mom agreement because my brother has the most during the call them so so okay ,High
0,Barrymore is here and I'm I don't like what I had the car so I can look at industry without checking all the crowd who was shy of wedding bleeding close Louboutin by talking Sharky that's true because I can you know I would never in doubt okay continued on as she waited in the ground leann okay you can wind back into yeah I heard the Oscars rainn all my diet it okay but you know nobody ,High
0,yeah I think I think are that they but when somebody number but really love about going up for America one I am working now but I don't know why that is not right helper how long mycnn couldn't help it I hope the ugly okay nine yeah about it why don't know but if you're like me but yeah okay concurrently I think what yeah I think that you are at home I think the what became a combat help what you can ,High
0,Saturday may thirty first two thousand fourteen the time ten thirty one I want to get a quick fire loading it was going to break into my home bundled up but not on the top of its value it broke a window and I'm home alone fourteen you don't know but I don't know what you do not eat I don't know thing here Bob got working up I think I thought I put in my lower back okay little did he break oh one in the back here he tried opening the door I thought that's what I heard of anyone column just the usual mail but I think top that all I can really get bad analogy acted toward the description I don't ,High
0,and can't and I won't let theatrically America think that they're out there palm we require earlier and better poor they want they away from all there you go mildly Buhner go file within that you play and could call my long one that he came back and it is I don't know he left her you know clip name put on the front door and down the car and make it and but he may be trying to get in and we polled the moment the war or peace yeah I think they have on the door I'm a little about your law right in the back sort of the front door listen to metal but don't hold forget the second fund it might go to your way okay mainly through ,High
0,I don't want what's emergency yeah %HESITATION my name is Andrew contrast KMC over chief financial credit union headquartered in Berlin for cash and I just received a call for few minutes ago from one of our VP's who state that him her a victim of a home invasion overnight %HESITATION that his mom Cluett resides with them is strapped to a bomb is close at hand anything strikingly convey Karen are a branch into Britain %HESITATION because it took one of perpetrators is gonna be accompanied him to clear up cash and I know will resume not to believe that what he's saying her how he feels okay where does he live he lives in Bristol okay I'm in need the branch into a new brand %HESITATION Becky waited ,High
0,my girlfriend would sorry we were at that Stephen Hawking Technicolor chains it hasn't made it back hotels she I don't know where she wears you got to it she was formal legal and some other guy you have made it back hopefully it will you out if even then room for a two what is your name it early how do you spell your last name the a are early why phone number is eight one so zero eight ,High
0,nine one one what is the address of your exactly five once Robin Williams you drive okay what's the problem exactly what happened are the key that police chief always having a vehicle pulled across street in the residence come home Rodham we don't have them yeah he's on the ground okay where's the man that was shooting his back and I hope we do have a county sheriff I I know I'm seeing okay okay we're gonna help on the way thank you harm allergic reaction to well that's good gosh should we help out with you know look look look so don't you think so yeah well she does try synchrony nine one one ,High
0,one one all I love playing my mom by the order we paint it like you are I would take your money I don't know why yeah leann leann you mean they hurt me I don't know I leann okay well right okay you over you are now me but all you are down there or you know any ,High
0,nine one one what's the address of the emergency workers it very well so what you know ma'am am I need you to take a deep breath and give me that address again okay greedy well I up well I think honey listen listen to me take a breath I got twenty one thirty three west and what well I'm going to yeah one more time we don't do very well British well let let anyone yeah yeah eleven seventy five north locale itself in what city in Syracuse okay what's going on there we can minimize research or since it overboard ,High
0,March twenty three two thousand thirteen eighteen fifty three fifty one nine one one let me address that your emergency workers drug users out breaking the address the replication board certified the three most of the year talk they let not but so far number you're calling from but I'm trying not that problem coming back with a tap look where the shooting okay delicious my love to shop but that thousands it does nope Lucia I did he ,High
0,three fifty one PM pick second April fifteenth two Pelton a but I think I only know one well then why are you for you if you ,High
0,Tuesday January third two thousand twelve the time sixteen fifty but I don't wanna can help you yeah I leave that family atlas center middle school gym what's going on there we got it we got in that capacity who's on the court moaning as fast because they could be features that that this is not a highschool no the citadel middle school senator Cooper center middle school yeah and you know the actual address there Sir you may know the others that seven hundred E. for sleep ,High
0,I got a nine one one where is your emergency sixty one thirty five very three what's going on there because I just got a phone call saying that I'm my friend she was on a date that apartment that how long and and apparently the boyfriend she hasn't decided assaulting her %HESITATION okay what is her name last name anyone if he's beating are out yeah but that's what I was told that she called a friend of hers in Brazil and he's like well you're closer here working over there and she's in trouble on so what is your name my name is and your last name where would you like yourself Puyat I have a junior with me so I know will send some help over there but your phone number Sabrina %HESITATION you know our passion ,High
0,I think when the nine one one yeah just the Americans think I think I I need to know where where you bring a man are you yeah you know real name real here what you ma'am I think owners are really quickly it well you know I okay what your phone number in case we get disconnected what okay and you'd be there in about how many minutes in there out you had better you and well I you know what they need eight you know pardon your friend would be implied shark yeah yeah leading ,High
0,right now I wanna focus related crime have different color transfer it that's what time and what what can someone has been shot in the neck but in any event competent goddess me thinking it would make a cameo on it anyway wondering where they end up not aerobic workout poor and Gloria poignant one one yes or no this is this is n't Lackner WNED the address is weaker than a nmcourts being okay west point because there's like a whole crew my if anyone wants I don't want my name click here it is ,High
0,what is important and one on one is the location of your emergency are working in the airport south entrance just before the assault was it's apparent that fire %HESITATION out in print lead by this out you Turner you into the FAA agents less and look like you're getting a heart attack straw for something in his lashes crackling where are you we're in this war and the fear is the road that goes into the airforce our writers has apparently across from the district also passing this is a very fast they're just leaving it for that like your parents incident returns and just straight away here are you on the bridge now we're before the very words which really is coming were confirmed coming from last three sixty parents to the airport okay hang on a minute because of the jurisdiction thing any ,High
0,who hello I didn't my brother okay name but I can hear you no my brother in the new record out yeah we thing okay yeah yeah yeah don't talk normal in okay my brother yelling upon a good good luck my brother the only alliance a good I don't I get my you get the bill if your brother well okay it you know my other brother then and my back but mom backyard plan whew I don't really little please weekly but my brother you're a you look big and upper body ,High
0,o'clock well I don't have a county nine one one but he addressed the emergency all of our people we can be family dollar completing we I am not a goody goody wouldn't it make a habit of it for a then that might never female a card with intimate with the male or female human well right now but now I think they'll look but they'll nnova I ran the liquid what color is that what could the Honda civic it Luke lightly and it looked like ugly unbelievable I like the Clinton listened ,High
0,I want one was the location of your emergency I know that one we are we are sure you know and my husband's been attacked by a bear there has been been attacked by a bear yeah I just go to dinner reporter Mike is right where Israel here where is your husband he got the part he got the bottom of my driveway and are surprised to get back in the house no I don't know yet if he came to he finished al-assad's okay okay we get clubs to depart I am going to somebody that you can go ahead go ahead okay hold up they'll tell ,High
0,the world three ,High
0,I will not worship her alright I'm form I get bored okay what's going on there I got I can hear your limit I can't hear I got the new we are we are leann leann Nnamdi okay I'm I'm trying to get help to be gotta come down there ,High
0,but I definitely think he yes uhhuh pleases crashed into the into the Hudson River you expand BBC hardly know your tennis crashed into the Hudson River I doubt it in my gosh owning a guy in the Victorian era bighorn just now we live definitely can sway over a I was threatened all I got one Russian names are alright sure is like where you flowing disappear out of Florida just got the government like that was the largest more Plano what it looked it looked like all your bets going like a good place our our services already there are to be there for the police cities one ninety nice to know I'm down there already Norris a right they are sending everybody is kind of scary while no one offered each one X. one here I would listen to if we're going garlic all ,High
0,yeah okay how many people are at work here grew bored floorboard we are out of work couture okay are you in the world work in the war going up okay now we are working more importantly can you get out of the plane are NMO open the door we're going to ruin the whole room we're playing a plane going up okay Inc while wearing a hot pink hair partly partly also what I can work it out wind power yeah we're in the middle of March at the middle what would okay you are you are you going ,High
0,now mark looking cigarette intake it's still one eight eight nine two palm springs %HESITATION cancel their one eighty nine to Indian springs have her what's going on there or to show my mother and my you shut your mother plate with a double homicide pay you shot your mom hill well I %HESITATION now if you Sarah I'm what happened I lost my mind and what's your name where Adrian Graham Wallace okay you know if they are on and they are alive at this point I don't think so I shot him multiple times okay Parker just committed a murder okay ,High
0,one more serious here emergency case okay the thought every call pro well I'm calling potato exactly what happened but we are looked in the garage door was up not all the gentleman was backing out no went back in my house but never backed out Matt came back over Indians wind instance %HESITATION driver side the window was shattered names battered you can answer who's inside I don't know the money troubleshooting were being shot himself but what I don't know and with that this location correct I think that what you are William came I'm still alive who's moving okay what what ,High
0,think of what happened here about one one year they played by us could pull him apart apartment Sandra ballroom what my problem in our world and all what if some Roanoke ago lily white I don't know what Jeff Wald billion two women land them forward but I quietly yes ma'am at at did you think they've been shot or what I don't move ahead but they're both bulemia the believe that we can't forget that I am went for don't hang up okay mmhm and I have a life beyond the in my are headline from the police department managers tundra bottle no real ,High
0,I I %HESITATION I might not know one where's your merchant think let them please don't go out and pick me up and got a good point we went on what it what it yet but if he addressed well ma'am what is the address how right now the bully what kept them slow down because I don't know where you are which I patient hold on I want mmhm ma'am I cannot find one ,High
0,nnova one more program that Arkan me my car in the water right off that he'd Molland part old library on it yet that is I'm proud when I mean nine lately something yeah I can open my door on the day when the water in the car your input the car I imply because I'm in the lead okay how do people water well that came with the car o'clock at going and going and going around like a hot button up but it sure is there upon under Lake Erie combined opa locka like you know I'm thinking about middle of the and the water riding in the car you couldn't vote we all American thing I know I don't get that the door okay every year during your windows are not down ,High
0,if but I nine one one where ya okay what's going on whatever it is that yeah that he had that view was punishment that was it where's he at now is what we have is that I don't know you know what he was wearing so I was I'm very very very yeah let it be very by uploading okay only got one did he leave off later in a vehicle I %HESITATION ,High
0,nine hundred gadgets of emergency well about a quarter mile at cap open on the railroad track you gotta train that does he railed in like a firecracker okay a quarter mile west of where that cap but what are you going to keep coming back for good luck all of government ordered yeah okay so okay and I just got a look on the map here to get a better location right on the highway and toward break by the upper Marlboro but the ethanol plant and can get the blood between cap open and that they all plan on the road crashing okay it at a quarter mile west of Catholic then well known athlete connected you for it okay and you said that it's on player yeah player and they're there engineers trying to get out of the chart I can train right now ,High
0,nine one one educating argument thing helmet helmet put yeah I didn't really believe are now are are among the pawn wanted here I go link why is your address what why did he do that I think thirty eight Cortlandt but I don't threw an arm and a leg and already up on kicking earlier I learned that I need you to come down fifteen thirty eight Cortland drive for no matter how good you know I know I need third I'm down I'm getting you out people often believe it car driving away I'm in the lake outlet by that but it does run hitting you hope okay okay third there on the way for helping oh yelp there are there on the way are you in the ,High
